GID_LAT	GID_LON	mean_1870-1999	mean_1995-1999	mean_2015-2030	0	-nan	0	-nan
-88.92773	-118.125	229.074	229.861	231.138	0.787	0.343557	2.064	0.901019
-88.92773	-116.71875	229.068	229.862	231.136	0.794	0.346622	2.068	0.902789
-88.92773	-115.3125	229.061	229.855	231.132	0.794	0.346633	2.071	0.904126
-88.92773	-113.90625	229.056	229.852	231.123	0.796	0.347513	2.067	0.902399
-88.92773	-112.5	229.048	229.849	231.115	0.801	0.349708	2.067	0.902431
-88.92773	-111.09375	229.037	229.84	231.108	0.803	0.350598	2.071	0.904221
-88.92773	-109.6875	229.03	229.824	231.107	0.794	0.346679	2.077	0.906868
-88.92773	-108.28125	229.019	229.821	231.101	0.802	0.350189	2.082	0.909095
-88.92773	-106.875	229.008	229.814	231.089	0.806	0.351953	2.081	0.908702
-88.92773	-105.46875	228.998	229.806	231.077	0.808	0.352842	2.079	0.907868
-88.92773	-104.0625	228.985	229.795	231.069	0.81	0.353735	2.084	0.910103
-88.92773	-102.65625	228.968	229.781	231.064	0.813	0.355071	2.096	0.915412
-88.92773	-101.25	228.957	229.77	231.05	0.813	0.355089	2.093	0.914145
-88.92773	-99.84375	228.943	229.758	231.04	0.815	0.355984	2.097	0.915949
-88.92773	-98.4375	228.929	229.748	231.02	0.819	0.357753	2.091	0.913384
-88.92773	-97.03125	228.915	229.735	231.01	0.82	0.358212	2.095	0.915187
-88.92773	-95.625	228.897	229.717	230.998	0.82	0.35824	2.101	0.91788
-88.92773	-94.21875	228.88	229.702	230.982	0.822	0.35914	2.102	0.918385
-88.92773	-92.8125	228.865	229.684	230.963	0.819	0.357853	2.098	0.916698
-88.92773	-91.40625	228.844	229.668	230.951	0.824	0.360071	2.107	0.920715
-88.92773	-90	228.822	229.652	230.938	0.83	0.362727	2.116	0.924736
-88.92773	-88.59375	228.802	229.634	230.917	0.832	0.363633	2.115	0.92438
-88.92773	-87.1875	228.782	229.614	230.895	0.832	0.363665	2.113	0.923587
-88.92773	-85.78125	228.758	229.592	230.872	0.834	0.364577	2.114	0.924121
-88.92773	-84.375	228.738	229.571	230.859	0.833	0.364172	2.121	0.927262
-88.92773	-82.96875	228.715	229.551	230.845	0.836	0.36552	2.13	0.93129
-88.92773	-81.5625	228.694	229.529	230.825	0.835	0.365117	2.131	0.931813
-88.92773	-80.15625	228.666	229.507	230.797	0.841	0.367785	2.131	0.931927
-88.92773	-78.75	228.639	229.481	230.774	0.842	0.368266	2.135	0.933786
-88.92773	-77.34375	228.614	229.459	230.748	0.845	0.369619	2.134	0.933451
-88.92773	-75.9375	228.587	229.438	230.724	0.851	0.372287	2.137	0.934874
-88.92773	-74.53125	228.558	229.41	230.705	0.852	0.372772	2.147	0.939368
-88.92773	-73.125	228.53	229.381	230.681	0.851	0.37238	2.151	0.941233
