GID_LAT,GID_LON,mean_1870-1999,mean_1995-1999,mean_2015-2030,abs_diff_1995-1999_1870-1999,prct_abs_diff_1995-1999_1870-1999,abs_diff_2015-2030_1870-1999,prct_abs_diff_2015-2030_1870-1999
-88.92773,-178.59375,6.31195,6.42493,7.0811,0.11298,1.78994,0.76915,12.1856
-88.92773,-177.1875,6.34859,6.44292,7.1071,0.09433,1.48584,0.75851,11.9477
-88.92773,-175.78125,6.38494,6.47852,7.13738,0.09358,1.46564,0.75244,11.7846
-88.92773,-174.375,6.42067,6.5231,7.17773,0.10243,1.59532,0.75706,11.791
-88.92773,-172.96875,6.45568,6.57099,7.2163,0.11531,1.78618,0.76062,11.7822
-88.92773,-171.5625,6.48784,6.6023,7.25432,0.11446,1.76422,0.76648,11.8141
-88.92773,-170.15625,6.51932,6.6233,7.2962,0.10398,1.59495,0.77688,11.9166
-88.92773,-168.75,6.55183,6.65005,7.30399,0.09822,1.49912,0.75216,11.4802
-88.92773,-167.34375,6.58467,6.67199,7.32693,0.08732,1.32611,0.74226,11.2725
-88.92773,-165.9375,6.61615,6.70584,7.35414,0.08969,1.35562,0.73799,11.1544
-88.92773,-164.53125,6.64243,6.7347,7.38696,0.09227,1.3891,0.74453,11.2087
-88.92773,-163.125,6.66836,6.75622,7.42625,0.08786,1.31757,0.75789,11.3655
-88.92773,-161.71875,6.69466,6.77827,7.45964,0.08361,1.24891,0.76498,11.4267
-88.92773,-160.3125,6.72,6.80956,7.48267,0.08956,1.33274,0.76267,11.3493
-88.92773,-158.90625,6.74265,6.83341,7.51623,0.09076,1.34606,0.77358,11.4729
-88.92773,-157.5,6.76346,6.84764,7.53911,0.08418,1.24463,0.77565,11.4682
-88.92773,-156.09375,6.78468,6.86889,7.55295,0.08421,1.24118,0.76827,11.3236
-88.92773,-154.6875,6.80425,6.89871,7.57881,0.09446,1.38825,0.77456,11.3835
-88.92773,-153.28125,6.82293,6.91787,7.5905,0.09494,1.39148,0.76757,11.2499
-88.92773,-151.875,6.83988,6.93588,7.60418,0.096,1.40353,0.7643,11.1742
-88.92773,-150.46875,6.85258,6.95207,7.62991,0.09949,1.45186,0.77733,11.3436
