GRUMP_GID	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP	sum_aid	mean_ppt_prct_abs_diff_1995-1999_1870-1999	mean_ppt_prct_abs_diff_2015-2030_1870-1999	mean_ts_prct_abs_diff_1995-1999_1870-1999	mean_ts_prct_abs_diff_2015-2030_1870-1999
40512	303873	Nazilli	119370	105829	44398.5380859376	5.82837119999999	7.9116792	0.32955568	0.64045632
55696	1282714	Tansen	23693	20970	179418.546875	0.316823	5.10528	0.143251	0.380638
66380	1258914	Rajapur	10718	10411	10435.4910278333	4.98660000000035	0.88623900000006	0.15609600000001	0.33316000000002
60073	1255425	Sunel	15840	14390	105439.293579089	5.74055999999954	7.92381999999937	0.13343699999999	0.37784799999997
84124	1005646|956767	eMbalenhle|Secunda	162159	144301	5767.75869846344	3.10765668989549	0.82471706968642	0.26876319860627	0.46685879442508
54891	1273206	Deoranian	19788	46123	136872.434082024	4.25836976744165	2.23466744186034	0.15565809302325	0.42381588372091
64381	5855927	Hilo	43263	44710	0	13.691764	4.51077519999998	0.107926934	0.33774746
82635	3469932	"Boa Esperanca"	33840	30956	233094.83016968	0.40554399999999	1.56039999999998	0.199981	0.45174599999999
27271	3174084	Maniago	10395	11303	0	5.5806	4.6407	0.270802	0.747273
82706	4035715	Avarua	13373	10069	0	7.04442999999919	11.6684999999987	0.14466199999998	0.37040199999996
48580	4063619	Gadsden	36856	73641	0	2.08591999999998	4.41723	0.24316	0.544512
15603	463835|472234|543133|551487|611182	Kazan|Kozlovka|Vasil'yevo|Volzhsk|Zelenodolsk	1290838	1554625	98631.6351852417	6.06352886061097	5.8192758261548	0.36697368402505	0.88412033398594
23088	3067713	Prachatice	11803	10507	0	6.20821842105278	3.0069931578948	0.24472010526317	0.73054936842107
19446	2952406	Barsinghausen	14200	34265	0	2.10389	1.30874	0.226205	0.658697
76518	2398269	Moanda	30151	26305	2693.35772705078	0.882502	2.96633	0.198482	0.386254
68382	1254420	Tiptur	60957	51939	183138.603515626	0.671894	0.276607	0.192317	0.393681
83968	1020340	Belfast	11916	12474	758.390417098999	3.29618999999995	0.82723699999999	0.270754	0.46804199999999
25486	720276	Hajduszoboszlo	23496	10881	0	1.51231000000001	1.17912999999999	0.307365	0.682209
80626	3460242	Jaguaquara	41498	35458	47543.2910003669	7.04074714285721	13.733830857143	0.16520037142857	0.42253937142858
26651	6325521|6325529	Levis|Montmagny	138120	157914	0	1.60010202749142	3.88870883161505	0.33503640206186	0.76523985567011
19995	2911395	Haltern	37788	29059	0	1.55380999999985	0.52054399999995	0.21485699999998	0.66126399999994
52828	250198	"At Tafilah"	25429	23949	1261266.79031375	2.80886796178348	1.01874977070065	0.323670522293	0.6174374267516
52586	1807308	Huangpi	57554	10028	6865.93753814688	1.17286999999997	0.57079699999999	0.191398	0.47535099999999
77338	3389609|3392088	"Pindare Mirim|Santa Ines"	90357	69840	15203.3891677857	1.93445000000001	4.26813000000002	0.240305	0.530869
38398	315530	Ercis	91915	70949	18730.633255005	3.92779999999999	3.0003	0.424321	0.7895
18288	2645425|2652885|2655785	Beverley|Cleethorpes|Hull	366281	691362	0	1.34574131150291	1.42778695382033	0.21637528379513	0.52092707892528
71275	1225142|1229989	"Point Pedro|Valvedditturai"	168015	31058	6856849.80065797	1.78847259259248	4.76903592592608	0.1488617037037	0.3121412962963
42831	303354|447273	Dalaman|Ortaca	39033	33675	40929.9022979735	6.73384977401117	7.56206909604507	0.28672636158192	0.57076433898304
80558	1037125	Montepuez	72279	69387	21344.1921386719	2.3158000000001	0.94437800000004	0.22872700000001	0.50995500000002
36993	300058	Susurluk	24816	22333	15955.7246246338	6.48236000000004	6.58221000000004	0.337275	0.633741
34606	3127047	Calatayud	21933	11548	0	2.81470999999999	8.23258	0.273587	0.736688
86439	2154787	Nowra	34479	72296	0	3.84875000000005	10.3218000000001	0.160567	0.399331
17369	567006	Davlekanovo	23952	26484	3424.48011016846	3.37343	4.83859	0.392453	0.898995
44860	2487805	Meskiana	30071	22759	0	13.02	18.2441	0.303369	0.726361
20641	2872237|2891014	Kierspe|Meinerzhagen	40170	30650	0	1.55381	0.520544	0.214857	0.661264
46938	1789897	Gongyi	56033	259792	272627.673286437	3.42858999999999	6.0009	0.194138	0.436459
63329	3521344	"Platon Sanchez"	10169	10694	92201.4135742188	4.32303	10.7222	0.241041	0.478653
42093	2468329	"Qal'at al Andalus"	15313	20029	307142.548889162	6.44391000000002	13.8968	0.195526	0.53804
28142	2982343	Royan	19017	56961	0	2.75643	8.41231999999996	0.118493	0.437969
53142	118994	Rafsanjan	147680	118022	0	2.12883	3.35852999999998	0.333054	0.72357899999999
10988	2666199	Uppsala	127734	131477	0	4.97460571428575	3.4203480952381	0.30138352380952	0.75996095238096
70704	342190	Bichena	16411	14189	25459.4223632826	2.12273	5.79511	0.248113	0.539671
68465	1254342	Thiruthani	39899	37644	222108.20666504	1.86459	2.90241	0.135005	0.286011
84273	997140	Heilbron	55196	26098	278.395477294917	0.193423	1.03135999999999	0.264759	0.50626799999999
83768	3446652	"Telemaco Borba"	58880	59480	17040.9754714969	2.81489000000005	1.32278000000002	0.185971	0.45945900000001
73447	2229748	Kumbo	53970	97264	21875.3104248047	2.95578	0.629537	0.144175	0.383008
63411	1278458	Arang	17503	10585	38872.1514282227	4.38595	0.202214	0.100861	0.33006
35616	1512287|1512770|1514215|1524138	Chinoz|Ilyich|Sirdaryo|Zafar	89045	123195	810321.342964027	2.57625974322957	4.08664959269212	0.3917759609525	0.75740992451052
62468	1270827	Gua	11388	10638	219009.808959961	2.49193	0.843555	0.0924416	0.300435
52546	1790254	Xiaogan	160437	429299	15647.950668335	1.17287	0.570797	0.191398	0.475351
21655	765932	Lubaczow	12595	11915	35472.7858886719	2.02115	0.0178026	0.307951	0.707397
65915	1679980|1727052	Bantay|Vigan	58636	69216	239293.716430664	0.22596599999999	1.83382999999992	0.14220399999999	0.34249099999999
64926	3491952	"Villa Altagracia"	40027	41625	109175.181762696	14.0495	28.9004	0.182188	0.377437
80107	3936952	"La Oroya"	33345	39358	196347.562308758	2.03708999999994	6.0394999999998	0.22983899999999	0.52828599999999
25396	721472	Debrecen	204124	89207	0	1.51231000000001	1.17912999999999	0.307365	0.682209
66676	1605754	"Taphan Hin"	21895	20421	0	3.13451999999987	2.45963999999989	0.16338799999999	0.35562999999999
18992	762850	"Ostrow Mazowiecka"	22653	25621	63719.6339111328	1.13964	0.821267	0.308933	0.72667
20480	2784349|2785141|2789483|2802435	Beerse|Oud-Turnhout|Turnhout|Vosselaar	78533	83909	0	1.2013164137931	0.16680255724138	0.21715668965517	0.6390306137931
46079	2486284	Nedroma	36995	50940	0	10.5367230285715	19.5733737142857	0.19674031428572	0.53243946857143
