geonameid,name,asciiname,latitude,longitude,population
113508,Takāb,Takab,36.4009,47.1133,51541
113632,Taft,Taft,31.74384,54.20278,19394
113636,Tafresh,Tafresh,34.69307,50.01601,14399
113646,Tabrīz,Tabriz,38.08,46.2919,1424641
113659,Tabas,Tabas,33.59586,56.92437,49993
114049,Sonqor,Sonqor,34.7837,47.6004,43174
114259,Sirjan,Sirjan,29.45137,55.6809,207645
114584,Shūshtar,Shushtar,32.0455,48.8567,77507
114593,Shūsh,Shush,32.1942,48.2436,52284
115019,Shiraz,Shiraz,29.61031,52.53114,1249942
115770,Shahrekord,Shahrekord,32.32556,50.86444,129153
115781,Shahr-e Bābak,Shahr-e Babak,30.1165,55.1186,52409
116102,Shādegān,Shadegan,30.64972,48.66472,37220
116402,Semnān,Semnan,35.57692,53.39205,124826
116406,Semīrom,Semirom,31.41667,51.56667,27220
116667,Sāveh,Saveh,35.0213,50.3566,175533
116996,Sari,Sari,36.56332,53.06009,255396
117392,Saqqez,Saqqez,36.24992,46.2735,151237
117574,Sanandaj,Sanandaj,35.31495,46.99883,349176
117656,Salmās,Salmas,38.1973,44.7653,81606
117793,Shāhīn Dezh,Shahin Dezh,36.6793,46.5669,41442
118063,Sabzevar,Sabzevar,36.2126,57.68191,226183
118191,Rūdsar,Rudsar,37.13761,50.288,47502
118367,Robāţ Karīm,Robat Karim,35.4846,51.0829,62753
118704,Rāvar,Ravar,31.26562,56.80545,40167
118743,Rasht,Rasht,37.28077,49.58319,594590
118805,Rāmshīr,Ramshir,30.8946,49.4092,19454
118826,Rāmhormoz,Ramhormoz,31.27997,49.60351,38821
118994,Rafsanjān,Rafsanjan,30.4067,55.9939,147680
119115,Qūchān,Quchan,37.106,58.50955,111752
119161,Qorveh,Qorveh,35.1664,47.8045,87953
119208,Qom,Qom,34.6401,50.8764,900000
119374,Qeshm,Qeshm,26.9492,56.2691,25000
119505,Qazvin,Qazvin,36.26877,50.0041,333635
119730,Qarah Ẕīā’ od Dīn,Qarah Zia' od Din,38.8915,45.0255,31947
120678,Farrokh Shahr,Farrokh Shahr,32.27174,50.98008,32391
120694,Qā’en,Qa'en,33.72654,59.18439,40157
120931,Sarpol-e Z̄ahāb,Sarpol-e Zahab,34.46109,45.86264,51611
120972,Pīshvā,Pishva,35.308,51.7267,53856
121110,Piranshahr,Piranshahr,36.701,45.1413,61973
121240,Pāveh,Paveh,35.0434,46.3565,17779
121380,Pārsābād,Parsabad,39.6482,47.9174,101661
121795,Oshnavīyeh,Oshnaviyeh,37.0397,45.0983,50661
121801,Orūmīyeh,Orumiyeh,37.55274,45.07605,577307
121861,Omīdīyeh,Omidiyeh,30.75972,49.705,46983
121925,Nūrābād,Nurabad,30.11405,51.52174,64041
121959,Nowshahr,Nowshahr,36.649,51.496,40000
122285,Nīshābūr,Nishabur,36.21329,58.79576,220929
122289,Neyrīz,Neyriz,29.1988,54.3278,45506
122397,Nekā,Neka,36.65079,53.29905,48847
122438,Naz̧arābād,Nazarabad,35.95411,50.60608,213388
122698,Naqadeh,Naqadeh,36.9553,45.388,73528
122915,Nahāvand,Nahavand,34.1885,48.377,76250
123941,Mīnāb,Minab,27.13104,57.08716,70790
124085,Mīāndoāb,Miandoab,36.96667,46.10961,132819
124193,Meybod,Meybod,32.25014,54.01658,51874
124274,Mahrīz,Mahriz,31.58428,54.4428,36720
124291,Mehrān,Mehran,33.1222,46.1646,11831
124620,Masjed Soleymān,Masjed Soleyman,31.9364,49.3039,111510
124647,Bardsīr,Bardsir,29.92266,56.57434,37192
124665,Mashhad,Mashhad,36.31559,59.56796,2307177
124862,Marand,Marand,38.4329,45.7749,124191
125185,Malāyer,Malayer,34.2969,48.8235,176573
125188,Malārd,Malard,35.6659,50.9767,56745
125446,Mahābād,Mahabad,36.7631,45.7222,162434
125897,Langarūd,Langarud,37.19701,50.15351,68148
126409,Kūhdasht,Kuhdasht,33.53335,47.60999,100208
126914,Kīsh,Kish,26.55778,54.01944,20922
126972,Khvoy,Khvoy,38.5503,44.9521,175370
127033,Khvānsār,Khvansar,33.22052,50.31497,21146
127319,Khorramshahr,Khorramshahr,30.44079,48.18428,330606
127349,Khorramābād,Khorramabad,33.48778,48.35583,329825
127403,Khomeyn,Khomeyn,33.64226,50.0789,77425
128008,Khalkhāl,Khalkhal,37.6189,48.5258,51024
128226,Kermānshāh,Kermanshah,34.31417,47.065,621100
128234,Kermān,Kerman,30.28321,57.07879,577514
128321,Kāzerūn,Kazerun,29.61949,51.65415,94511
128447,Kāshmar,Kashmar,35.23831,58.46558,96151
128477,Kāshān,Kashan,33.98308,51.43644,272359
128747,Karaj,Karaj,35.83266,50.99154,1448075
128831,Kangāvar,Kangavar,34.5043,47.9653,53414
128905,Kāmyārān,Kamyaran,34.7956,46.9355,61642
129512,Kalāleh,Kalaleh,37.38071,55.49164,33700
129933,Jūybār,Juybar,36.64115,52.91244,28404
130245,Javānrūd,Javanrud,34.79611,46.51722,38657
130802,Īlām,Ilam,33.6374,46.4227,140940
131962,Harsīn,Harsin,34.2721,47.5861,57647
132144,Hamadān,Hamadan,34.79922,48.51456,528256
132892,Gorgān,Gorgan,36.84165,54.44361,244937
132938,Gonbad-e Kāvūs,Gonbad-e Kavus,37.25004,55.16721,131416
132961,Gonābād,Gonabad,34.35286,58.68365,43465
133037,Golpāyegān,Golpayegan,33.4537,50.28836,44916
133595,Gerāsh,Gerash,27.6652,54.1371,25316
134217,Bandar-e Ganāveh,Bandar-e Ganaveh,29.5791,50.517,52750
134518,Fīrūzābād,Firuzabad,28.8438,52.5707,66558
134601,Fareydūnshahr,Fareydunshahr,32.94098,50.121,11562
134602,Fereydūnkenār,Fereydunkenar,36.68642,52.52255,34097
134721,Fasā,Fasa,28.9383,53.6482,98061
134762,Fārsān,Farsan,32.25694,50.56096,25071
135298,Esfarāyen,Esfarayen,37.07645,57.51009,59678
135423,Shahrud,Shahrud,36.41819,54.97628,131889
136014,Dogonbadan,Dogonbadan,30.3586,50.7981,94638
136399,Delījān,Delijan,33.9905,50.6838,33508
136702,Dehlorān,Dehloran,32.6941,47.2679,46002
136987,Dehdasht,Dehdasht,30.7949,50.56458,69726
137268,Sūsangerd,Susangerd,31.5608,48.1831,41443
137436,Darreh Shahr,Darreh Shahr,33.1396,47.3762,24961
137956,Dārāb,Darab,28.75194,54.54444,63319
138025,Dāmghān,Damghan,36.1679,54.34292,67694
138042,Damāvand,Damavand,35.71842,52.06958,29144
138742,Chenārān,Chenaran,36.64546,59.12123,46940
139223,Chālūs,Chalus,36.655,51.4204,69638
139817,Bandar-e Būshehr,Bandar-e Bushehr,28.9684,50.8385,165377
139889,Būkān,Bukan,36.521,46.2089,213331
140044,Borūjerd,Borujerd,33.8973,48.7516,251958
140046,Borūjen,Borujen,31.96523,51.2873,52654
140097,Borāzjān,Borazjan,29.2699,51.2188,86059
140380,Bojnūrd,Bojnurd,37.47473,57.32903,192041
140463,Bīrjand,Birjand,32.86628,59.22114,196982
140521,Bījār,Bijar,35.8668,47.60506,53871
140889,Bonāb,Bonab,37.3404,46.0561,80359
140918,Behshahr,Behshahr,36.69235,53.55262,93500
140951,Behbahān,Behbahan,30.5959,50.2417,79327
141584,Bāneh,Baneh,35.9975,45.8853,104799
141665,Bandar-e Lengeh,Bandar-e Lengeh,26.55792,54.88067,22768
141679,Bandar-e Anzalī,Bandar-e Anzali,37.47258,49.4593,110826
141681,Bandar ‘Abbās,Bandar 'Abbas,27.1865,56.2808,352173
141736,Bam,Bam,29.106,58.357,99268
142000,Bahār,Bahar,34.9072,48.4414,28645
142255,Bāfq,Bafq,31.6035,55.40249,31215
142358,Bābolsar,Babolsar,36.70251,52.6576,48051
142363,Bābol,Babol,36.55132,52.67895,202796
142496,Aznā,Azna,33.6095,48.9307,47482
142554,Hashtrūd,Hashtrud,37.4779,47.0508,16888
142676,Āstārā,Astara,38.4291,48.872,39065
142679,Āstāneh-ye Ashrafīyeh,Astaneh-ye Ashrafiyeh,37.25962,49.94444,42784
142872,Asadābād,Asadabad,34.78241,48.11853,59617
143052,Ardestān,Ardestan,33.3761,52.3694,16058
143073,Ardakān,Ardakan,32.31001,54.01747,58834
143083,Ardabīl,Ardabil,38.2498,48.2933,410753
143127,Arāk,Arak,34.09174,49.68916,503647
143534,Āmol,Amol,36.46961,52.35072,199382
143748,Alvand,Alvand,36.3187,49.1678,74889
143860,Shahrīār,Shahriar,35.65884,51.05775,58849
143921,Alīgūdarz,Aligudarz,33.40063,49.6949,91041
144269,Aleshtar,Aleshtar,33.86419,48.26258,27701
144410,Akbarābād,Akbarabad,29.2464,52.7793,98342
144443,‘Ajab Shīr,`Ajab Shir,37.4776,45.8943,29675
144448,Ahvaz,Ahvaz,31.31901,48.6842,841145
