GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
37222	315202	Eskisehir	514869	484350
37224	2525070|2525110	"Cassano Allo Ionio|Castrovillari"	31894	33472
37228	1280957	Jiayuguan	122396	118032
37234	147982	Imishli	34178	28399
37243	5369690|5381002	Magalia|Paradise	37528	37795
37249	2510821	Soller	13942	10280
37254	1217658	Bulung'ur	26815	24039
37263	146970|147105	Shushi|Xankandi	71762	64223
37276	307654	Kirikkale	211138	205686
37300	315373	Erzincan	114027	107554
37301	4407010	"Saint Joseph"	76780	92857
37304	300619	Sivas	264022	247802
37305	148565|585225	Haciqabul|Sirvan	93322	174072
37309	298230	Cimin	39591	30240
37312	4241704	Jacksonville	19446	25515
37315	308024	Keskin	49679	34831
37316	1216290|1217180|1217340|1217662|1512423|1512838|1513288|1513983	Bukhara|Galaosiyo|Ghijduwon|Kogon|Qiziltepa|Romiton|Shofirkon|Wobkent	436663	439106
37317	4389418	Hannibal	17916	21418
37324	309647	Agri	92022	79919
37331	324768	Akdagmadeni	23048	20316
37361	315720|323786|442301|6955677|752284	Akyurt|Ankara|Batikent|Cankaya|Elmadag	4646066	3287750
37362	1279945	Jiuquan	72732	168457
37382	1850405|2113126|2113719	"Akita|Akita Shi|Tenno"	668646	279091
37383	5336269	Chico	86187	95282
37384	2266703|2267095	"Leiria|Marinha Grande"	74028	104141
37385	1784055	Zhuanghe	80384	194350
37388	4516233	Lancaster	38780	47294
37389	121380	Parsabad	101661	73116
37390	4256085	Connersville	13481	18258
37397	1792260	Wafangdian	250591	373108
37419	296895	Yerkoy	35294	32248
37426	5280814|5280822|5280854	"Weirton|Weirton Heights|Wheeling"	67682	227205
37444	316102	Dursunbey	17532	17530
37460	1879613	Anju	50196	197098
37477	1216265|1217362|1217414|1217595	Charxin|Jomboy|Juma|Samarqand	367506	848825
37478	2523577|9003711	"Corigliano Scalo|Rossano Stazione"	38960	77705
37479	322165	Balikesir	238151	216070
37480	252848|258576	Larisa|Tyrnavos	139554	180823
37481	261779	Ioannina	64012	96751
37482	5420885	Edwards	10266	23856
37483	2262644	Tomar	19168	22416
37484	302525	Polatli	93262	80059
37488	4508778	Circleville	13314	18596
37494	4235683|4250542	Chatham|Springfield	127750	177445
37495	4258273	Greencastle	10326	18220
37501	1792520|1800657|1803948|1807544|1811542|1816670|2034754|2038154	Beijing|Changping|Daxing|Fangshan|Liangxiang|Mentougou|Shunyi|Tongzhou	12567189	9123733
37502	1784929|1793346|1793385|1797595|1803334|1809159|1811260|1815656|1816753|2034996	Beidaihehaibin|Changli|Fengrun|Guye|Linxi|Qinhuangdao|Shanhaiguan|Tangjiazhuang|Tangshan|Zhaogezhuang	4775290	4047374
37503	2111884	Miyako	51721	16703
37504	4267733	Atchison	11021	12010
37520	2512096	"Quintanar de la Orden"	12736	11007
37529	299545	Tavsanli	52182	47253
37530	1217084	Karakul'	22487	17846
37540	316411	Dogubayazit	70171	56317
37544	4527660	"Washington Court House"	14192	16508
37592	4251141	Taylorville	11246	15516
37594	174895	Goris	20379	19213
37598	4264688	Shelbyville	19191	22388
37604	301353	Sefaatli	13922	24390
37606	4520760	Oxford	21371	23820
37611	161616	Balkanabat	87822	118278
37623	4254021|4254304|4254957|4255056|4255466|4257494|4258285|4258313|4259418|4260210|4263108|4265146|4267336|4917592|4922673|4924006|4924198|4928118|8347326	"Anderson|Avon|Beech Grove|Broad Ripple|Brownsburg|Carmel|Fairfield Heights|Fishers|Greenfield|Greenwood|Indianapolis|Lawrence|Lebanon|Muncie|Noblesville|Plainfield|Speedway|Westfield|Zionsville"	1465992	1527426
37630	1220798	Panjakent	35085	33827
37640	312355|315985|320369|323911	Altinoluk|Burhaniye|Edremit|Havran	103710	69521
37649	2522766|2524546	Guspini|Villacidro	24472	43558
37683	2463679	Kerkyra	27003	86143
37684	5379759	Oroville	15546	39588
37687	252664	Trikala	49809	104348
37690	2262582|2266249|2268575|2272447	"Abrantes|Entroncamento|Monsanto|Torres Novas"	98059	79343
37692	305268	Kutahya	185008	167162
37694	4235668|4244099	Charleston|Mattoon	40393	44939
37695	4352681	Cumberland	20859	83007
37696	1280849	Kashi	274717	189954
37698	1804540	Langfang	720119	377320
37702	300593	Sivrihisar	10535	11359
37709	2510799|2511143|2512432|2512989|2514097|2514216|2514984|2515624|2516452|2518723|2520200|2520493|2521741|2522091|6324533	"Alcudia|Andratx|Calvia|Capdepera|Inca|Llucmajor|Manacor|Marratxi|Palma|Pollenca|Santa Margalida|Santa Ponsa|sa Pobla|s'Arenal|Son Servera"	709714	521268
37712	4528463	Wilmington	12520	14260
